,video_id,playlist_id,title,description,upload_date
46,Ig_ZWdpriC4,,How to Lower Blood Pressure Naturally with Lifestyle Changes,"Here is the latest research on the effect of fasting to lower blood pressure naturally compared to medications, cutting down on ...",2020-03-16T11:59:50Z
47,lakaozfALho,,Optimal Cholesterol Level,Why don't authorities advocate a sufficient reduction in cholesterol down to safe levels? New subscribers to our e-newsletter ...,2015-01-29T17:04:47Z
48,AoHvkrcr6EM,,How to Prevent Blood Sugar and Triglyceride Spikes After Meals,"Within hours of eating an unhealthy meal, we can get a spike in inflammation, crippling our artery function, thickening our blood, ...",2017-04-19T12:03:18Z
49,zbzkOdBsNkU,,Does Marijuana Cause Lung Cancer?,"On a puff-by-puff basis, cannabis smoke deposits four times more tar in the lungs than tobacco, but does this translate into ...",2018-10-03T11:38:49Z
50,X9dWhGlkvGU,,Which Fruit Fights Cancer Better?,"The ability of eleven common fruits to suppress cancer cell growth in vitro was compared. Which was most effective—apples, ...",2013-05-10T11:33:31Z
51,RFHOTq8PKfU,,Benefits of Tea Tree Oil For Warts and Cold Sores,"Does tea tree oil have enough antiviral activity to combat HSV-1 and papilloma viruses, the causes of cold sores and common ...",2018-11-26T13:01:51Z
52,8UIiggH8WHs,,The Benefits of Fasting for Healing,A look at the health benefits of fasting. Where did the idea of therapeutic fasting come from? New subscribers to our e-newsletter ...,2020-09-14T11:59:48Z
53,MnsolNrF0gI,,Lycopene Supplements vs. Prostate Cancer,High doses of lycopene—the red pigment in tomatoes—were put to the test to see if it could prevent precancerous prostate lesions ...,2017-11-01T12:05:02Z
54,cw0rtjNHGTA,,Does Coffee Affect Cholesterol?,New data suggests even paper filtered coffee may raise LDL bad cholesterol. New subscribers to our e-newsletter always receive ...,2018-08-27T12:02:41Z
55,my_yHc9MgQ8,,Which Brands and Sources of Rice Have the Least Arsenic?,Arsenic levels were tested in 5800 rice samples from 25 countries. New subscribers to our e-newsletter always receive a free gift.,2017-07-28T12:07:49Z
56,Wp9O-ehynVI,,Oxalates in Spinach and Kidney Stones  Should We Be Concerned?,"Even though dietary oxalates may have a limited effect on kidney stone risk in most people, there are some predisposing factors ...",2019-06-17T11:59:47Z
57,l_C26gt1LbA,,How to Win the War on Cancer,"How effective is chemotherapy for colon, lung, breast, and prostate cancer? New subscribers to our e-newsletter always receive a ...",2018-07-18T12:07:28Z
58,uHYJQ1KXFAw,,Does Marijuana Cause Strokes and Heart Attacks?,Health effects of marijuana. The temporary quintupling of heart attack risk associated with cannabis smoking may be due to the ...,2020-12-07T12:59:52Z
59,ucOp0nT2Dh4,,Detoxifying with Chlorella,"Chlorella is put to the test against liver disease, cholesterol, and detoxifying carcinogens. New subscribers to our e-newsletter ...",2018-09-05T12:08:39Z
60,oNm5sE9GAFc,,Microbiome We Are What They Eat,What happens to our gut flora when we switch from a more animal-based diet to a more plant-based diet? New subscribers to our ...,2017-06-12T11:58:27Z
61,dLP0g70-Ryc,,What Does a Low White Blood Cell Count Mean?,"Since white blood cell count is a sign of systemic inflammation, it's no surprise that those with lower white counts live longer.",2017-06-28T10:58:23Z
62,imsMWBXmd7A,,Tomato Sauce vs. Prostate Cancer,What happened when cancer patients were given three quarters of a cup of canned tomato sauce every day for three weeks?,2017-11-03T11:51:07Z
63,I1uoc8ZN0m4,,How Much Vitamin D Should You Take?,"The safe dose of vitamin D supplements to get most of the population to the optimal level is 2000 i.u. a day, but the elderly and ...",2016-07-04T11:53:19Z
64,mffGLuctKoE,,Treating Advanced Prostate Cancer with Diet: Part 1,Dr. Dean Ornish showed that a plant-based diet and lifestyle program could apparently reverse the progression of prostate cancer ...,2017-08-23T12:09:58Z
65,uFWAInzVNCQ,,The Benefits of Moringa: Is It the Most Nutritious Food?,Does the so-called miracle tree live up to the hype? A look at the nutritional benefits of moringa. New subscribers to our ...,2021-07-07T11:59:51Z
66,mrKtgoSOjEc,,Cooked Beans or Sprouted Beans?,How do canned versus germinated beans (such as sprouted lentils) compare when it comes to protecting brain cells and ...,2014-10-06T11:19:47Z
67,_QfhK6R14C4,,"Amla vs. Drugs for Cholesterol, Inflammation, and Blood-Thinning",Indian gooseberry extracts put to the test head-to-head against cholesterol-lowing statin drugs and the blood thinners aspirin and ...,2017-10-30T11:32:33Z
68,gDdmeRMn4Ik,,The Food That Can Downregulate a Metastatic Cancer Gene,Women with breast cancer should include the “liberal culinary use of cruciferous vegetables.” How diet changes can affect cancer ...,2021-06-14T11:59:53Z
69,wZLgy4dvM1Y,,New Sponsorship: Big Broccoli,Help keep us ad- and sponsorship-free by making a donation today: ...,2024-04-07T15:59:56Z
70,0Mt_OxSKKZ0,,Walnuts and Artery Function,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ DESCRIPTION: ...,2014-05-09T11:25:07Z
71,DMDUQLxFJcY,,The Symptoms of Vitamin B12 Deficiency,Vitamin B12 deficiency is known as “The Great Masquerader.” A look at the many facets of the symptoms. New subscribers to our ...,2020-10-21T11:59:47Z
72,5R-s4KoVa1o,,Should We Be Concerned About the Cyanide from Flaxseed?,"In a worse-case scenario, how much flaxseed is too much? The average American should stick to under 1.5 tablespoons a day if ...",2019-05-13T11:57:43Z
73,1cAhfZa1Rac,,The Benefits of Early Time Restricted Eating,Calories eaten in the morning count less and are healthier than calories eaten in the evening. New subscribers to our e-newsletter ...,2019-12-09T12:59:49Z
74,wY4vEBilWN4,,The Optimal Vitamin B12 Dosage for Adults,"Why the current Recommended Daily Allowance for vitamin B12 may be insufficient, and what the optimal dosage is.",2020-10-26T11:59:48Z
75,EdfHlNXQ9PU,,Which Nut Fights Cancer Better?,Within hours the blood of those fed walnuts is able to suppress the growth of breast cancer cells in a petri dish. Which nut might ...,2014-07-18T11:22:45Z
76,aeuYPp-Uf-E,,Studies on Millet Nutrition: Is It a Healthy Grain?,"Is millet one of the healthiest grains? In fact, millet isn't the name of a specific grain at all, but a generic term that applies to a ...",2021-03-10T12:59:48Z
77,HI76tB-5H3A,,Is It Safe to Eat Raw Mushrooms?,The side effects of raw mushrooms. Microwaving is probably the most efficient way to reduce agaritine levels in fresh mushrooms.,2021-07-14T11:59:54Z
78,9zNRcgsagrs,,"Breakfast Like a King, Lunch Like a Prince, Dinner Like a Pauper",Harness the power of your circadian rhythms for weight loss by making breakfast or lunch your main meal of the day.,2020-01-27T12:59:55Z
79,b6dReZLYilU,,Benefits of Flaxseeds for Inflammation,"Elevated levels of pro-inflammatory, aging-associated oxylipins can be normalized by eating ground flaxseed. New subscribers to ...",2019-12-11T12:59:50Z
80,sPiDzeRVlt8,,Fasting for Autoimmune Diseases,The benefits of fasting for autoimmune disease. Various fasting regimens have been attempted for inflammatory autoimmune ...,2020-12-14T12:58:09Z
81,ael6l32EBeg,,Is Sorghum a Healthy Grain?,"How does sorghum compare with other grains in terms of protein, antioxidants, and micronutrients? New subscribers to our ...",2021-01-20T12:59:48Z
82,UTxLHqeXZNQ,,The Best Diet for Diabetes,The case for using a plant-based diet to reduce the burden of diabetes has never been stronger. New subscribers to our ...,2019-04-03T11:58:55Z
83,x_ZZqRnjyXU,,Is Nutritional Yeast Healthy for Everyone?,Those with certain autoimmune diseases such as Crohn's disease should probably not eat nutritional yeast. New subscribers to ...,2017-09-04T12:00:58Z
84,oj8qAwgADdM,,The Healthiest Food Sources of Vitamin B12,What are the best green-light (whole food plant-based) sources of vitamin B12 to meet the optimal dosage? New subscribers to ...,2020-10-28T11:59:49Z
85,HC1ncQd7F80,,Food for Hair Growth,"Hot peppers, soy foods, and pumpkin seeds may help with hair loss. This is the last in a three-part series on hair loss and growth.",2022-06-14T15:04:29Z
86,lKngv7mL48s,,The Effects of Hormones in Dairy Milk on Cancer,"What are the effects of the female sex hormones in milk on men, women, and children? New subscribers to our e-newsletter ...",2019-09-25T11:59:46Z
87,c3psl0FtlPk,,The Effects of Avocados on Inflammation,"The impact of high fat plant foods—avocados, peanuts, walnuts—and olive oil put to the test. New subscribers to our e-newsletter ...",2018-06-11T11:58:23Z
88,prvKNDsFMJQ,,Does Cocoa Powder Cause Acne?,"Is the link between chocolate and acne from the sugar, the milk, or the cocoa? Researchers put white chocolate, dark chocolate, ...",2018-03-19T11:57:25Z
89,E-uE3MVS8H0,,Best Supplements for Prostate Cancer,What would happen if you secretly gave cancer patients four of the healthiest foods? New subscribers to our e-newsletter always ...,2017-05-12T11:50:31Z
90,lupPd8SsZNc,,How Not to Die from High Blood Pressure,"How to prevent and reverse hypertension, the #1 risk factor for death in the world. New subscribers to our e-newsletter always ...",2016-10-17T11:55:34Z
91,mZbOnVfs7aI,,Benefit of Dates for Colon Health,Seven dates a day for three weeks are put to the test in a randomized controlled trial. New subscribers to our e-newsletter always ...,2019-02-06T13:03:13Z
92,KDRazSapYew,,The Best Diet for Colon Cancer Prevention,What would happen within just two weeks if you swapped the diets of Americans with that of healthier eaters? New subscribers to ...,2019-07-15T12:09:19Z
93,KIr7sZEpMYo,,200-Pound Weight Loss Without Hunger,Body weight and satiety signals. I dive into one of the most fascinating series of studies I've ever come across. New subscribers to ...,2021-07-21T11:59:49Z
94,hDi9ffMwTVg,,Does Adding Milk Block the Benefits of Coffee?,How to choose the healthiest coffee and the effects of adding milk vs. soymilk. New subscribers to our e-newsletter always receive ...,2018-10-01T11:55:23Z
95,a7ZQax2tN5k,,How to Reverse Heart Failure with Diet,Can you reverse heart disease with food? An entire issue of a cardiology journal dedicated to plant-based nutrition explores the ...,2020-11-25T12:59:48Z
96,Z7P8Gn9Hsis,,Flashback Friday: Second Strategy to Cooking Broccoli,Adding myrosinase enzymes in the form of even a pinch of mustard powder to cooked cruciferous (cabbage-family) vegetables ...,2019-02-22T13:11:22Z
97,Yex92x25k8A,,Benefits of Beans for Peripheral Vascular Disease,"Do legumes (beans, chickpeas, split peas, and lentils) just work to prevent disease or can they help treat and reverse it as well?",2018-06-15T12:01:12Z
98,G1E7Upc2lPQ,,What to Eat for Stroke Prevention,More than 90% of stroke risk is attributable to modifiable risk factors. New subscribers to our e-newsletter always receive a free gift ...,2020-07-29T11:59:53Z
99,Aw8hufhIDu0,,What Causes Insulin Resistance?,"Prediabetes and type 2 diabetes are caused by a drop in insulin sensitivity blamed on “intramyocellular lipid,” the buildup of fat ...",2017-01-06T13:08:25Z
100,CXD_hh8zRiY,,The Effects of Low-Level Lead Exposure in Adults,Much of the lead found in adults today was deposited decades ago in our skeleton and is just now leaching out from our bones ...,2017-05-24T12:03:02Z
101,OUU2o5wmJM4,,Eat More Calories in the Morning to Lose Weight,"A calorie is not a calorie—it not only depends what you eat, but when you eat. New subscribers to our e-newsletter always receive ...",2020-01-20T12:59:54Z
102,N5rcQBVf-_E,,Treating Gout with Cherry Juice,"Cherry consumption has been shown to successfully prevent gout arthritis attacks, but what about cherry juice concentrate?",2014-09-08T11:13:32Z
103,578ybslz3IY,,Turmeric Curcumin and Osteoarthritis,The yellow pigment curcumin in the spice turmeric may work as good or better than anti-inflammatory drugs and pain killers for the ...,2014-01-17T12:09:51Z
104,31i2TEkhHwE,,The Best Type of Vitamin B12: Cyanocobalamin or Methylcobalamin?,"Cyanocobalamin versus methylcobalamin: For prevention and treatment of vitamin B12 deficiency, cyanocobalamin in chewable, ...",2020-11-04T12:59:49Z
105,I28Ck071-94,,Fighting Autism Brain Inflammation with Food,"One food may be able to combat all four purported causal factors of autism: synaptic dysfunction, oxidative stress, mitochondrial ...",2017-09-25T12:12:18Z
106,7_Dv7b0TON8,,Is Keto an Effective Cancer Fighting Diet?,The clinical use of ketogenic diets for epilepsy and cancer: what does the science say? New subscribers to our e-newsletter ...,2019-08-28T12:00:00Z
107,0VX_oZBMSd4,,How Not to Die from Cancer,What happens when you put cancer on a plant-based diet? New subscribers to our e-newsletter always receive a free gift.,2016-10-03T11:55:34Z
108,oOv_S0nRejo,,Erythritol May Be a Sweet Antioxidant - UPDATE: don’t eat! (See doc note below),Correction: 00:10 IMPORTANT NOTE: Though the observational data does appear rife ...,2012-12-04T12:32:40Z
109,P6WsELDaNwM,,Is Fasting Beneficial for Weight Loss?,What the results for fasting for weight and fat loss show: Fasting for a week or two is like the keto diet—it can actually slow body fat ...,2019-11-06T21:03:10Z
110,c3psl0FtlPk,,The Effects of Avocados on Inflammation,"The impact of high fat plant foods—avocados, peanuts, walnuts—and olive oil put to the test. New subscribers to our e-newsletter ...",2018-06-11T11:58:23Z
111,L60cWF12cD8,,Benefits of Black Cumin Seed (Nigella Sativa) for Weight Loss,"Can spices aid weight loss? For three cents a day, black cumin (also known as black seed and nigella seed) may improve ...",2021-06-02T11:59:55Z
112,gpqmNRSrDF4,,Diet for Hypothyroidism: A Natural Treatment for Hashimoto’s Disease,"What were the results of a randomized, double-blind, placebo-controlled trial of a half teaspoon of powdered black cumin a day for ...",2021-05-31T11:59:46Z
113,X3bEaMf4vTQ,,How Well Does Cooking Destroy the Cyanide in Flax Seeds?,"Are flaxseeds like bitter almonds, where just a few ounces could kill you, or more like regular almonds where regular dietary ...",2019-05-08T12:09:01Z
114,iNKMPBSZu7E,,Eggs and Breast Cancer,"How few eggs should we eat to reduce the risk of prostate, ovarian, colon, and breast cancer? New subscribers to our ...",2019-01-14T13:09:28Z
115,BO0jUYku51I,,Smoking Marijuana vs. Using a Cannabis Vaporizer,"Cannabis vapor has less tar, but may contain more ammonia. What happens to respiratory symptoms when regular users of joints, ...",2018-08-20T12:14:12Z
116,bx9hi5hNiaU,,Plant-Based Protein: Are Pea and Soy Protein Isolates Harmful?,"What are the different impacts of plant protein versus animal protein, and do the benefits of plant based proteins translate to plant ...",2021-02-03T12:59:48Z
117,1XhN3gyCOzs,,Flaxseeds &amp; Breast Cancer Survival: Clinical Evidence,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/. DESCRIPTION: ...,2013-04-10T11:44:01Z
118,wY4vEBilWN4,,The Optimal Vitamin B12 Dosage for Adults,"Why the current Recommended Daily Allowance for vitamin B12 may be insufficient, and what the optimal dosage is.",2020-10-26T11:59:48Z
119,xN1iUr07Wdk,,Changing Protein Recommendations?,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ A research ...,2012-11-13T12:23:33Z
120,g0UmVKA-4F8,,Dr. Greger&#39;s Daily Dozen Checklist,In my book How Not to Die I center my recommendations around a Daily Dozen checklist of all the things I try to fit into my daily ...,2018-03-30T12:03:23Z
121,fpZyC7qcciw,,"Was It the Flaxseed, Fat Restriction, or Both?",New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ DESCRIPTION: ...,2013-03-27T11:36:42Z
122,prvKNDsFMJQ,,Does Cocoa Powder Cause Acne?,"Is the link between chocolate and acne from the sugar, the milk, or the cocoa? Researchers put white chocolate, dark chocolate, ...",2018-03-19T11:57:25Z
123,QOn1hVZUDvo,,Biggest Nutrition Bang for Your Buck,Growing your own broccoli sprouts is one of the most cost-effective ways to improve one's diet. New subscribers to our ...,2012-03-22T11:57:21Z
124,8-7wGkX5wcQ,,Eating Healthy on a Budget,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ DESCRIPTION: ...,2013-05-03T11:49:27Z
125,cmmbCM2_AGs,,Preventing Cataracts with Diet,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ ...,2012-05-06T03:57:31Z
126,4NjklRZ1ctQ,,What Diet Should Physicians Recommend?,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ DESCRIPTION: ...,2014-07-16T11:13:08Z
127,ETQ1bX7h6-0,,Recipe: Edamame Guacamole,"Here's a spin on traditional guacamole, from the How Not to Die Cookbook. New subscribers to our e-newsletter always receive a ...",2019-03-25T11:42:35Z
128,J5aXDHHmFNA,,Broccoli: Sprouts vs. Supplements,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ DESCRIPTION: ...,2014-06-25T11:33:02Z
129,JhQrCnOoEjQ,,What Is the Healthiest Diet?,What the baggage that comes along with the nutrients in your food? New subscribers to our e-newsletter always receive a free gift.,2016-10-21T12:11:11Z
130,i_fZze3JAWU,,Benefits of Nutritional Yeast for Cancer,"How the beta glucan fiber in brewer's, baker's, and nutritional yeast can improve wound healing and, potentially, anti-cancer ...",2018-01-17T13:00:11Z
131,TRB4NO-wZ0E,,The Best Diet for Hypothyroidism and Hyperthyroidism,Why is a plant-based diet the best for thyroid health? Is the apparent protection of plant-based diets due to the exclusion of animal ...,2021-05-26T11:59:50Z
132,gvodHKXH0XU,,Food Antioxidants and Cancer,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ Antioxidant ...,2014-02-21T12:20:31Z
133,t7WwpnRrbK8,,"Dried Apples, Dates, Figs or Prunes for Cholesterol?",New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ ...,2013-03-13T11:32:22Z
134,aeuYPp-Uf-E,,Studies on Millet Nutrition: Is It a Healthy Grain?,"Is millet one of the healthiest grains? In fact, millet isn't the name of a specific grain at all, but a generic term that applies to a ...",2021-03-10T12:59:48Z
135,1-RsRCzDwD4,,Can Dehydration Affect Our Mood?,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ DESCRIPTION: ...,2015-07-24T11:44:54Z
136,RFHOTq8PKfU,,Benefits of Tea Tree Oil For Warts and Cold Sores,"Does tea tree oil have enough antiviral activity to combat HSV-1 and papilloma viruses, the causes of cold sores and common ...",2018-11-26T13:01:51Z
137,rO4kdtMq8rs,,Eggs vs. Cigarettes in Atherosclerosis,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ ...,2013-03-11T11:30:20Z
138,0qp5MywomPc,,Whole Grains May Work as Well as Drugs,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ DESCRIPTION: ...,2012-12-25T12:28:30Z
139,SYlREuH_PPI,,How Not to Die from Kidney Disease,What are the three significant dietary risk factors for declining kidney function? New subscribers to our e-newsletter always receive ...,2016-10-12T11:55:06Z
140,qbj_sdEygV4,,Eating Better to Look Better,New subscribers to our e-newsletter always receive a free gift. Get yours here: https://nutritionfacts.org/subscribe/ DESCRIPTION: ...,2013-09-11T11:08:06Z
141,E-uE3MVS8H0,,Best Supplements for Prostate Cancer,What would happen if you secretly gave cancer patients four of the healthiest foods? New subscribers to our e-newsletter always ...,2017-05-12T11:50:31Z
142,StyRTo3AUO8,,Flashback Friday: Which Fruits and Vegetables Boost DNA Repair?,"Every hour, there are 800 incidents of DNA damage in our bodies. Which foods help us patch back up: apples, broccoli, celery, ...",2019-06-21T12:00:04Z
143,TRxMhqdmb2Y,,Nuts and Obesity: The Weight of Evidence,Nut consumption does not appear to lead to the expected weight gain. How is it possible given how many calories they have?,2012-08-26T01:59:03Z
